post_did,post_uri,author,handle,author_did,text,created_at
did:plc:eexrkxc76w3z3bxsdhonvdxn,at://did:plc:eexrkxc76w3z3bxsdhonvdxn/app.bsky.feed.post/3lsdy4bwops2j,Mark Evans Photography  🏴󠁧󠁢󠁷󠁬󠁳󠁿,mark-s2436.bsky.social,did:plc:eexrkxc76w3z3bxsdhonvdxn,"A beautiful splash of colour from Powis Castle near Welshpool in Wales 🏴󠁧󠁢󠁷󠁬󠁳󠁿
#Wales #NationalTrust #photo
#CanonCamera #photography
#history #botany #countryside
#flowers #gardens #Cymru",2025-06-24T11:20:36.694Z
did:plc:6khwbcjlzf24liywdat6avgd,at://did:plc:6khwbcjlzf24liywdat6avgd/app.bsky.feed.post/3lsk4prplas26,Louvain Rees ⚰️,hellohistoria.bsky.social,did:plc:6khwbcjlzf24liywdat6avgd,"Four years since I annoyed a landowner so much that he took a burial ground off the market ❤️

www.mirror.co.uk/news/weird-n... 

#Wales #History",2025-06-26T21:59:04.140Z
did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsfjdhzipc2b,Punk Rock History,punkrockhistory.bsky.social,did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,"44 years ago
Milo Aukerman of the Descendents, Dancing Waters, San Pedro, June 1981.

Pic by Glen E. Friedman

#punk #punks #punkrock #milo #descendents #history #punkrockhistory",2025-06-25T02:01:31.307Z
did:plc:y2v2hvehgzh4xi3cwje3ws43,at://did:plc:y2v2hvehgzh4xi3cwje3ws43/app.bsky.feed.post/3lsg46ak5zc27,Hairy Neil,rovingrollo.bsky.social,did:plc:y2v2hvehgzh4xi3cwje3ws43,"Morning All !

It's hump day, so time for #WindowsonWednesday

Millenium Window, Goodrich Castle, Herefordshire, UK. Jube 2025

I love the splashes of colour created by the window. More in Alt Text

#History #Photography #WindowsWednesday #EastCoastKin",2025-06-25T07:38:36.784Z
did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsfjhkbkn22w,Punk Rock History,punkrockhistory.bsky.social,did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,"46 years ago
The Damned at Hurrah, New York in June 1979

Photo by Eileen Polk.

#punk #punks #punkrock #thedamned #newyorkcity #oldschoolpunk #history #punkrockhistory",2025-06-25T02:03:47.892Z
did:plc:y2v2hvehgzh4xi3cwje3ws43,at://did:plc:y2v2hvehgzh4xi3cwje3ws43/app.bsky.feed.post/3lsgddhzxw22e,Hairy Neil,rovingrollo.bsky.social,did:plc:y2v2hvehgzh4xi3cwje3ws43,"Going for a 'twofer' with this one.... #AlphabetChallenge on the theme #WeekZForZoology and #WindowsonWednesday

Crow sitting on the window, Tintern Abbey, Monmouthshire, UK. June 2025

#Wales #History #Photography #WindowsWednesday #EastCoastKin",2025-06-25T09:46:48.618Z
did:plc:tl7hpw2ij6itli2or6khiusi,at://did:plc:tl7hpw2ij6itli2or6khiusi/app.bsky.feed.post/3lsbo2bslpc2f,Dana Goldberg,dgcomedy.bsky.social,did:plc:tl7hpw2ij6itli2or6khiusi,"Our Gay of the Day hero today is the incomparable Urvashi Vaid. Lesbian, activist, change maker, and she left a road map for the community to organize and fight. The time is now! #pride #pridemonth #history #lgbtqia #lgbtq #gay",2025-06-23T13:15:12.569Z
did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsaikofpj22n,Punk Rock History,punkrockhistory.bsky.social,did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,"32 years ago today
Kat Bjelland with Babes in Toyland performing at Lollapalooza at Shoreline Amphitheatre on June 23, 1993 in Mountain View, California.

Photo by Tim Mosenfelder

#punk #punks #punkrock #womenofpunk #katbjelland #babesintoyland #history #punkrockhistory",2025-06-23T02:04:20.454Z
did:plc:bhnp7tnocw74jj43jkdidi2n,at://did:plc:bhnp7tnocw74jj43jkdidi2n/app.bsky.feed.post/3lslihpfs4k2m,Guy Thomas 〓〓,guywrites.bsky.social,did:plc:bhnp7tnocw74jj43jkdidi2n,"Havana colours. 🇨🇺 

#Cuba #Havana #life #streetphotography #photography #history #car #architecture",2025-06-27T11:01:57.957Z
did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,at://did:plc:cwyq3ofrxtuc7ixzo3v6bgyq/app.bsky.feed.post/3lsczjd6wqc2b,Punk Rock History,punkrockhistory.bsky.social,did:plc:cwyq3ofrxtuc7ixzo3v6bgyq,"45 years ago
Wendy O. Williams, lead singer of the Plasmatics, performs  at the Whiskey a Go Go, West Hollywood, June 1980.

Photos by George Rose

#punk #punks #punkrock #womenofpunk #wendyowilliams #plasmatics #history #punkrockhistory",2025-06-24T02:13:08.224Z
